species,n_cohorts,pooled_effect,pooled_se,z_score,p_value,Q_statistic,Q_pvalue,I2_heterogeneity,min_effect,max_effect,p_adjusted,significant
t__SGB10464,4,0.7685050852605381,0.10698262558650733,7.183456949643813,6.796785356755208e-13,9.264183544374557,0.025977018608114744,67.61722189947677,-0.5121264246649282,0.8865835705984205,1.5705429020787929e-12,True
g__Enterococcus,4,-0.7788918270520937,0.10954404581418067,-7.110307285649521,1.1577405700791132e-12,24.636725657642025,1.8390621352004644e-05,87.82305716397246,-1.2745980560796648,3.9363459260180047,2.6656873624241504e-12,True
t__SGB61482,4,0.7859335566178366,0.11108390604320666,7.075134325148269,1.4930279235159105e-12,7.610854701279482,0.05477750058358177,60.582613678123934,-1.0935027322512993,1.1479813836450656,3.4013699525168804e-12,True
g__GGB44099,4,0.7859335566178366,0.11108390604320666,7.075134325148269,1.4930279235159105e-12,7.610854701279482,0.05477750058358177,60.582613678123934,-1.0935027322512993,1.1479813836450656,3.4013699525168804e-12,True
s__GGB44099_SGB61482,4,0.7859335566178366,0.11108390604320666,7.075134325148269,1.4930279235159105e-12,7.610854701279482,0.05477750058358177,60.582613678123934,-1.0935027322512993,1.1479813836450656,3.4013699525168804e-12,True
f__Alcaligenaceae,4,-0.7657600056819555,0.11264171742431577,-6.798191852822836,1.0593970145578169e-11,25.61415968338725,1.1486672542360132e-05,88.28772820548265,-1.6305872695751675,4.406799855832697,2.4050170821716055e-11,True
s__Laribacter_hongkongensis,4,0.7498921019956698,0.11038552497711161,6.793391634919158,1.095279422713702e-11,12.632917464531214,0.005501592833696112,76.25251642446851,-0.719282764146197,1.516636720481009,2.46057564755474e-11,True
g__Laribacter,4,0.7498921019956698,0.11038552497711161,6.793391634919158,1.095279422713702e-11,12.632917464531214,0.005501592833696112,76.25251642446851,-0.719282764146197,1.516636720481009,2.46057564755474e-11,True
t__SGB13091,4,0.7498921019956698,0.11038552497711161,6.793391634919158,1.095279422713702e-11,12.632917464531214,0.005501592833696112,76.25251642446851,-0.719282764146197,1.516636720481009,2.46057564755474e-11,True
c__Opitutae,4,-0.7594183718072769,0.11261464348536539,-6.743513528113825,1.546007766251023e-11,23.845271906278857,2.6908605513908945e-05,87.4188895316809,-2.0965665635637425,3.170622167145273,3.4611315735792794e-11,True
