species,n_cohorts,pooled_effect,pooled_se,z_score,p_value,Q_statistic,Q_pvalue,I2_heterogeneity,min_effect,max_effect,p_adjusted,significant
s__GGB24874_SGB36777,5,0.6248580024758726,0.07845975877964156,7.96405714464175,1.5543122344752192e-15,18.36468428596918,0.0010471458172091053,78.21906471293904,-1.3980552119191119,1.144508751270608,5.809560482956557e-15,True
g__GGB24874,5,0.6248580024758726,0.07845975877964156,7.96405714464175,1.5543122344752192e-15,18.36468428596918,0.0010471458172091053,78.21906471293904,-1.3980552119191119,1.144508751270608,5.809560482956557e-15,True
t__SGB36777,5,0.6248580024758726,0.07845975877964156,7.96405714464175,1.5543122344752192e-15,18.36468428596918,0.0010471458172091053,78.21906471293904,-1.3980552119191119,1.144508751270608,5.809560482956557e-15,True
s__Bifidobacterium_pseudocatenulatum,5,0.5974224653202539,0.07514404799323184,7.950363086296113,1.7763568394002505e-15,42.853164139387744,1.1099840269146455e-08,90.66580010990725,-1.6734023888781246,0.8063978276144358,6.5677193413501144e-15,True
t__SGB17237,5,0.5974224653202539,0.07514404799323184,7.950363086296113,1.7763568394002505e-15,42.853164139387744,1.1099840269146455e-08,90.66580010990725,-1.6734023888781246,0.8063978276144358,6.5677193413501144e-15,True
s__Macellibacteroides_fermentans,5,-0.7504631925400576,0.09450673801882749,-7.9408432485581235,1.9984014443252818e-15,81.05370927028645,1.1102230246251565e-16,95.06500068163277,-0.9987826750514646,3.644229516171478,7.270779722970707e-15,True
g__Macellibacteroides,5,-0.7504631925400576,0.09450673801882749,-7.9408432485581235,1.9984014443252818e-15,81.05370927028645,1.1102230246251565e-16,95.06500068163277,-0.9987826750514646,3.644229516171478,7.270779722970707e-15,True
t__SGB1927,5,-0.7504631925400576,0.09450673801882749,-7.9408432485581235,1.9984014443252818e-15,81.05370927028645,1.1102230246251565e-16,95.06500068163277,-0.9987826750514646,3.644229516171478,7.270779722970707e-15,True
f__Eubacteriaceae,5,-0.6213463169866994,0.07840526866162205,-7.924803110723056,2.220446049250313e-15,70.18191896761823,2.0761170560490427e-14,94.30052631954166,-2.95857538331478,5.403456288063394,8.035899987763038e-15,True
s__Flavobacterium_sp_GENT5,5,-0.823227992666569,0.10425130584800402,-7.896572479071066,2.886579864025407e-15,116.95947193408735,0.0,96.58001191878311,-4.423044552551838,8.531987089500484,1.033728076959884e-14,True
t__SGB109342,5,-0.823227992666569,0.10425130584800402,-7.896572479071066,2.886579864025407e-15,116.95947193408735,0.0,96.58001191878311,-4.423044552551838,8.531987089500484,1.033728076959884e-14,True
t__SGB1903,5,0.6122673700564686,0.07892124700542502,7.757953571290904,8.659739592076221e-15,30.67973319197184,3.558189638930287e-06,86.96207696797472,-3.300225648636845,0.8714015674704728,3.085032229677154e-14,True
o__Rhodobacterales,5,-0.7891987967739004,0.10187515443881266,-7.746724911694753,9.325873406851315e-15,17.430751558844413,0.0015937492542021925,77.0520508740176,-0.9213750053709299,2.6271909800220925,3.305128191858186e-14,True
f__Rhodocyclaceae,5,-0.7806685409219903,0.10139048619876949,-7.6996232111121365,1.354472090042691e-14,44.02051257101455,6.35314267860565e-09,90.91332706872247,-4.0870937549263875,0.5755064434013766,4.775561389635055e-14,True
