species,f_statistic,p_value,effect_size,n_samples,p_adjusted,significant
s__Qipengyuania_aerophila,15.706584141958842,1.2464998528456109e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Anabaenopsis_elenkinii,15.706584141958842,1.2464998528456109e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Flavobacterium_tructae,15.706584141958842,1.2464998528456109e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB23698_SGB35400,15.706584141958842,1.2464998528456109e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB75612_SGB103140,15.586004815000834,1.3906432967400762e-08,8.729764048553237,60,7.105615749096555e-08,True
s__Fluviibacter_phosphoraccumulans,15.156192962195128,2.0612359902187602e-08,11.050869851407377,60,1.0460422100021735e-07,True
s__Malikia_spinosa,14.91108368640463,2.5862366015566965e-08,5.965830747445946,60,1.3036030437576322e-07,True
s__GGB75253_SGB103519,14.799573375309734,2.8692001362520397e-08,3.1116511480477724,60,1.4365257058013567e-07,True
s__GGB44435_SGB61857,14.749391684847957,3.0068193213117606e-08,10.334140034455379,60,1.495391475799049e-07,True
s__Aquaspirillum_sp_LM1,14.661459193337713,3.264685576799173e-08,8.072872180726694,60,1.606692264400257e-07,True
s__Pseudoxanthomonas_mexicana,14.65852029278821,3.273689332290068e-08,9.016801354483468,60,1.606692264400257e-07,True
s__Diaphorobacter_nitroreducens,14.512128134525742,3.75634046561241e-08,7.9529712383987405,60,1.8315228675469662e-07,True
s__GGB47687_SGB2286,14.200451129921703,5.0454474853930464e-08,7.710111580814635,60,2.444093392274814e-07,True
s__Faecalibacterium_prausnitzii,13.96079498241465,6.343631436343857e-08,10.83105301231635,60,3.0531284203306564e-07,True
s__Bacteroides_graminisolvens,13.85056699448193,7.052510687629109e-08,9.475201308652904,60,3.3725467775457147e-07,True
s__Limnohabitans_sp_2KL_51,13.641038211493946,8.63513531901897e-08,7.211153150274641,60,4.1030642980816254e-07,True
s__Undibacterium_amnicola,13.570191348290544,9.249978289255224e-08,6.013982122457442,60,4.3673948125217706e-07,True
s__Pseudomonas_fluvialis,13.457882403756669,1.0319109899276896e-07,7.8334144352024735,60,4.841544644566393e-07,True
s__GGB33037_SGB127733,13.386205076682746,1.1067611026778137e-07,11.297312984173342,60,5.160273641235306e-07,True
s__GGB61782_SGB83906,13.23001121454088,1.2899832743669599e-07,7.413127735297941,60,5.977189581849391e-07,True
s__GGB33037_SGB24024,13.09416404111861,1.4748200461396515e-07,9.87748496732917,60,6.791455274198642e-07,True
s__Agrobacterium_tomkonis,13.014095752720129,1.5964065532708435e-07,7.920172311829557,60,7.28588009776937e-07,True
