species,p_value,f_statistic,p_value_kw,kw_statistic,effect_size,n_samples,r_squared,p_adjusted,sig_fdr,p_adjusted_kw,sig_fdr_kw,log10p,log10p_adjusted,p_adjusted_bonf,sig_bonf
s__Lacihabitans_sp_CS3_21,8.013253455432314e-23,37.422481195818534,6.583869225598818e-19,91.4168371681163,8.920593112770185,187,0.45129475934815144,1.3902062971517458e-21,True,2.3613300203349605e-18,True,22.096191120511822,20.85692074861874,5.977887077752507e-20,True
s__Arcobacter_acticola,8.800906705541613e-23,37.335960386963436,1.2453943312960924e-12,61.74667757984401,7.586666856455469,187,0.45072164567840645,1.4921537278031916e-21,True,2.055451706077179e-12,True,22.055472582744326,20.826186431757844,6.565476402334043e-20,True
s__GGB24407_SGB36248,1.014884119521886e-22,37.20462326490084,1.3822206977505535e-22,108.69359894571177,8.83465427722085,187,0.44984937717127815,1.6824523403629488e-21,True,6.171019522169291e-21,True,21.993583543095838,20.774057229398515,7.571035531633269e-20,True
s__Escherichia_coli,1.7861647538392696e-22,36.685615922677975,1.1073540472955214e-06,33.16063411323743,8.571013255802225,187,0.446375141328777,2.8966932747045547e-21,True,1.298877546041602e-06,True,21.748078484762566,20.53809748897147,1.332478906364095e-19,True
s__GGB46797_SGB64687,3.220118455829437e-22,36.14789163215631,2.086334654103999e-19,93.76491438752717,12.133294986828767,187,0.4427290271622858,5.111081634146298e-21,True,9.254235888631196e-19,True,21.492128151979067,20.291487182442115,2.40220836804876e-19,True
s__Aliarcobacter_cryaerophilus,4.1604371357677074e-22,35.915196621639986,1.3807095541133998e-09,47.207118849613124,11.416184293367794,187,0.44113627568263836,6.466012715172312e-21,True,1.9145154783802905e-09,True,21.38086103579684,20.189363445699758,3.10368610328271e-19,True
s__GGB46263_SGB80728,5.091786804055554e-22,35.73217594823679,9.42565116570717e-19,90.68344936614368,7.821006406961571,187,0.4398771241952971,7.751985624133557e-21,True,3.3011905021678628e-18,True,21.29312978878912,20.110587041344967,3.798472955825443e-19,True
s__Bacteroides_graminisolvens,7.426564028379176e-22,35.391286375729926,5.327474981488974e-08,39.563770102660314,9.66938209312207,187,0.43751667158983976,1.108043353034173e-20,True,6.724697692370178e-08,True,21.129212070311766,19.955443247175115,5.540216765170866e-19,True
s__GGB26464_SGB38629,9.24927151048445e-22,35.19369364501352,1.2372299659880663e-16,80.70114555780007,8.196107126204705,187,0.4361393320255864,1.3529326562394901e-20,True,3.4829190740645183e-16,True,21.0338924717405,19.86872382036577,6.8999565468213995e-19,True
s__GGB75160_SGB103632,5.488375930250271e-21,33.6077783477723,1.9711996516460569e-22,107.97059104720886,7.251398305114254,187,0.42483532023900794,7.873708546089811e-20,True,7.73955231646294e-21,True,20.260556148970092,19.103820665132222,4.094328443966702e-18,True
