species,p_value_original,f_statistic_original,p_value_kw,kw_statistic,effect_size_original,n_samples_original,r_squared,p_adjusted_original,sig_fdr,p_adjusted_kw,sig_fdr_kw,log10p,log10p_adjusted,p_adjusted_bonf,sig_bonf,significant_original,f_statistic_balanced,p_value_balanced,effect_size_balanced,n_samples_balanced,p_adjusted_balanced,significant_balanced,log_p_original,log_p_balanced
s__GGB34383_SGB60872,7.991243900062163e-74,292.8052179305815,4.8175395295322416e-24,111.6611203889589,11.127954760854204,209,0.8107836089661988,1.8124141165340984e-72,True,4.1387044140072434e-23,True,73.09738561406697,71.74174256384609,4.531035291335246e-71,True,True,105.69956209658011,3.9105366045256826e-20,10.982380861720232,48,7.918836624164507e-19,True,73.09738561406697,19.407763644549263
s__Candidatus_Planktophila_limnetica,2.3390645985344443e-73,289.036737474953,4.8175395295322416e-24,111.6611203889589,10.861508547295838,209,0.8087883152084349,5.1009601052655e-72,True,4.1387044140072434e-23,True,72.63095778400545,71.29234807308336,1.32624962736903e-70,True,True,108.54264700577238,2.343370944096943e-20,10.715934648161864,48,5.314765301211866e-19,True,72.63095778400545,19.630158959280486
s__GGB46797_SGB64687,5.552130526427532e-73,286.03211364905883,5.085525195648178e-22,102.25612505547866,12.28547877943468,209,0.807167053347815,1.1659474105497818e-71,True,3.276696347650588e-21,True,72.2555403324954,70.93332103776149,3.148058008484411e-70,True,True,167.61323163105183,4.331174204667503e-24,12.139904880300707,48,3.0697197175580924e-22,True,72.2555403324954,23.363394348109384
s__GGB32489_SGB48813,8.617699902970351e-73,284.51369752125925,4.8175395295322416e-24,111.6611203889589,10.82438928003377,209,0.8063372301367236,1.7450842303514962e-71,True,4.1387044140072434e-23,True,72.0646086335655,70.75818360601481,4.886235844984189e-70,True,True,105.74320225437157,3.879567223273307e-20,10.678815380899797,48,7.918836624164507e-19,True,72.0646086335655,19.411216718484976
s__GGB25723_SGB84803,1.1381476878504266e-72,283.5563153696592,4.8175395295322416e-24,111.6611203889589,10.782840187486958,209,0.80581033404876,2.2252749621075586e-71,True,4.1387044140072434e-23,True,71.94380137954302,70.65261631854906,6.453297390111919e-70,True,True,105.9041375304252,3.7675574064190464e-20,10.637266288352984,48,7.918836624164507e-19,True,71.94380137954302,19.423940121600968
s__Candidatus_Nanopelagicus_SGB64093,1.727242152484293e-72,282.12554712935463,4.8175395295322416e-24,111.6611203889589,10.761469190365204,209,0.8050175437326135,3.2644876681953134e-71,True,4.1387044140072434e-23,True,71.76264677180401,70.48618496763076,9.79346300458594e-70,True,True,105.23319685083679,4.2581024886032935e-20,10.615895291231231,48,8.3253245208209225e-19,True,71.76264677180401,19.370783889703894
s__GGB38373_SGB52357,4.167597656069509e-71,271.395864620444,4.8175395295322416e-24,111.6611203889589,10.597242016233842,209,0.7988594040638493,7.6226705515852e-70,True,4.1387044140072434e-23,True,70.38011421489642,69.11789284983779,2.3630278709914117e-68,True,True,100.27028850282034,1.0761378947401532e-19,10.451668117099869,48,2.0339006210588893e-18,True,70.38011421489642,18.96813207524244
s__Polynucleobacter_difficilis,3.5772417947925594e-64,222.33419365079257,4.7533975539227864e-21,97.7417577380292,11.487800751534724,209,0.764908952705043,6.338425305148065e-63,True,2.591515781802135e-20,True,63.44645170379983,62.19801862322683,2.0282960976473808e-61,True,True,77.79857527725973,1.267619245606051e-17,11.342226852400751,48,2.1780003401776695e-16,True,63.44645170379983,16.89701117576364
s__Limnohabitans_parvus,1.9389089139980557e-50,145.04951186929853,7.211308469346397e-20,92.24632165359844,12.485654015811711,209,0.6797618230816872,3.331398043142113e-49,True,3.3514851656716453e-19,True,49.71244259271459,48.477373473699565,1.0993613542368975e-47,True,True,79.70427952901416,8.106927362076178e-18,12.340080116677738,48,1.4364461919678728e-16,True,49.71244259271459,17.09114371823606
s__Aquirufa_antheringensis,1.9138459731797526e-47,131.13619776033053,7.782843889586908e-20,92.0921412347168,13.876433377426617,209,0.6574247056246079,3.1916196082144703e-46,True,3.587701207638843e-19,True,46.718093017285305,45.495988875434655,1.0851506667929198e-44,True,True,69.44234365951354,1.0094537267274206e-16,13.730859478292642,48,1.5469196298768852e-15,True,46.718093017285305,15.995913584286006
s__Polynucleobacter_sp_31A_FELB,3.393896210951153e-46,125.60424810650107,7.211308469346397e-20,92.24632165359844,12.26285883855902,209,0.6476529570699401,5.498111861740869e-45,True,3.3514851656716453e-19,True,45.46930144301434,44.259786428471706,1.924339151609304e-43,True,True,70.96126841181596,6.821053451043842e-17,12.117284939425046,48,1.131077249695263e-15,True,45.46930144301434,16.16614854724316
s__Flavobacterium_sp_GENT5,7.746608444274984e-41,103.55002430642767,3.2796032454079144e-16,75.20195643007695,13.776564676278973,209,0.6024435741094338,1.22009082997331e-39,True,7.559085529049949e-16,True,40.11088839508378,38.91360783695816,4.392326987903916e-38,True,True,70.87016248388333,6.981958331452241e-17,13.630990777145,48,1.131077249695263e-15,True,40.110888395083784,16.156022747397284
