species,f_statistic,p_value,effect_size,n_samples,p_adjusted,significant
s__Akkermansia_muciniphila,3.062502989337888,0.0238373304467549,5.39305198601107,60,0.02796480595212686,True
s__Methylorubrum_extorquens,3.0602484725658985,0.023913393899218267,3.321515088187353,60,0.02799956606063809,True
s__Flavobacterium_inviolabile,3.049153646705233,0.024291302830945202,3.578925407420767,60,0.02838692947104643,True
s__GGB32865_SGB61406,3.0261841821792745,0.02509297319372785,4.117936510886928,60,0.029267046104096504,True
s__Psychrobacter_pasteurii,3.024460509319284,0.02515419943177793,3.0094606906139436,60,0.02928181902965655,True
s__GGB32253_SGB56808,3.023064058510241,0.02520391310307066,5.0927099585560605,60,0.029283159154434697,True
s__GGB43779_SGB93081,3.0099842066006475,0.02567440056007158,3.504362153353673,60,0.02977242988023685,True
s__Bacteroides_cellulosilyticus,2.9937902961621843,0.026269209025850757,4.376464967155512,60,0.030403710254487536,True
s__Arcobacter_suis,2.975819328733455,0.026945590659183796,3.6067722554465824,60,0.031126803002850246,True
s__GGB450_SGB609,2.974372086329793,0.02700082001869327,2.935216383001547,60,0.031130964572221878,True
s__Tolumonas_auensis,2.9421533791379044,0.028260358665556734,3.6370468297155876,60,0.03252098525826471,True
s__Methanobrevibacter_smithii,2.9307414873067836,0.028720564172303436,4.57316716342022,60,0.032987619420759944,True
s__Lelliottia_amnigena,2.9162331308712974,0.029316567689633928,3.8205455457165898,60,0.03360815649591114,True
s__Candidatus_Methylomirabilis_limnetica,2.9017906834985574,0.02992224757199373,4.531580584911593,60,0.03423741040970061,True
s__GGB44695_SGB62151,2.89515838360921,0.030204599558412065,5.630437669937421,60,0.03449502563205015,True
s__Candidatus_Microthrix_SGB36776,2.8402621539083652,0.03264712901131444,3.9685533995074325,60,0.03721402418491986,True
s__Acinetobacter_bohemicus,2.8353946212743093,0.032873075905615085,5.800025836915613,60,0.03740087692657716,True
s__Bacteroides_thetaiotaomicron,2.7915385031866866,0.03498113282830957,4.8786534993997765,60,0.03972433727960579,True
s__Acinetobacter_sp_ANC_4862,2.7887665710732366,0.03511885282790726,3.5451003982027642,60,0.03980576739704526,True
s__Pseudomonas_alcaligenes,2.781813467550825,0.035466712465919814,4.43929544668284,60,0.040124629675327664,True
s__Ralstonia_pickettii,2.768565250561315,0.03613912851096172,5.254601511606596,60,0.040808791183726434,True
s__Turicibacter_bilis,2.7358279874482467,0.037856169333015104,3.8352194348584314,60,0.042667794594033845,True
s__Flavobacterium_oncorhynchi,2.6959153068014197,0.040060770902650526,3.397500217977589,60,0.04506836726548184,True
s__Sphaerotilus_montanus,2.670731998538593,0.041517607748503854,4.480665432511323,60,0.046620330488543436,True
s__Acidovorax_sp_KKS102,2.66935822963091,0.04159859019567897,4.48654244728869,60,0.04662444217099334,True
s__GGB61412_SGB83485,2.6678914199769244,0.041685232127913724,4.198836988105239,60,0.04663487008002222,True
s__Aeromonas_salmonicida,2.6541064428227914,0.042508377117118294,4.000121282004742,60,0.04746768778078209,True
s__Sphingobium_xenophagum,2.6239534808398144,0.044366129690146874,2.402801647690159,60,0.049450602963324514,True
s__Phascolarctobacterium_faecium,2.618965181615695,0.044681209196336384,4.933530432768862,60,0.04970990617230782,True
