species,n_cohorts_original,pooled_effect_original,pooled_se_original,z_score_original,p_value_original,Q_statistic_original,Q_pvalue_original,I2_heterogeneity_original,min_effect_original,max_effect_original,p_adjusted_original,significant_original,n_cohorts_balanced,pooled_effect_balanced,pooled_se_balanced,z_score_balanced,p_value_balanced,Q_statistic_balanced,Q_pvalue_balanced,I2_heterogeneity_balanced,min_effect_balanced,max_effect_balanced,effect_range,p_adjusted_balanced,significant_balanced,log_p_original,log_p_balanced
s__Klebsiella_grimontii,4,1.6176163353710569,0.1117335488041032,14.477445249744475,0.0,30.887674207127997,8.97621129647419e-07,90.28738784318152,-2.075186905553672,1.7888628119851688,0.0,True,4,0.13217476942183598,0.207254925144965,0.6377400649436243,0.5236429003816543,3.2545106373897856,0.35402426388207253,7.82024291043371,-1.0104509003869144,1.0431649993148167,2.053615899701731,0.5856891294633346,False,320.000004834948,0.2809647803111256
s__GGB24874_SGB36777,4,1.225052164121766,0.1112808930388014,11.00864785201368,0.0,19.40152307200742,0.0002258063785419,84.5372964335547,-0.8895256901954292,1.899355612909584,0.0,True,4,-0.6598440983467578,0.5286781139343206,-1.2481017862387478,0.21199378423733828,5.524345921421249,0.1371896915006866,45.69492854589037,-1.9130884921917586,1.5912995082784869,3.5043880004702457,0.26429994290257414,False,320.000004834948,0.6736768726136982
s__Cloacibacterium_caeni,4,-2.5628763936608263,0.1118658497704308,-22.910266170777906,0.0,67.49349579601234,1.4654943925052066e-14,95.55512725394016,-2.8128065432215004,1.2389127899444263,0.0,True,4,-1.6977939322484097,0.4975200077834597,-3.4125138802203843,0.0006436664893361144,24.986843669358713,1.5538606609188932e-05,87.99368163623286,-3.433274419409649,2.897580665508861,6.33085508491851,0.0012314243081062856,True,320.000004834948,3.191339100588674
s__GGB2734_SGB3677,4,1.0493349063154036,0.1097313511466297,9.56276301485815,0.0,16.030367322987832,0.0011178431861716,81.2855192925121,-0.9135679523383716,1.3756593656503648,0.0,True,4,-0.6682682477674522,0.18114510846167572,-3.6891321738827716,0.0002250203006226581,12.969890309871163,0.004702173876770521,76.86950368642091,-1.490485126823791,2.4479635738859162,3.9384487007097073,0.00045373811792221434,True,320.000004834948,3.6477782994411196
s__Dechloromonas_agitata,4,0.7338106814735464,0.0717299767277794,10.230181507773413,0.0,93.44134368389116,0.0,96.78942973021782,-1.2040161841594843,1.58389538971608,0.0,True,4,-0.2513303492236875,0.20091250397739643,-1.2509442879272628,0.2109548042329359,2.761722379701455,0.42983991797099763,0.0,-0.6605188204020386,0.9983225076334867,1.6588413280355252,0.2633868849361802,False,320.000004834948,0.6758105796535366
s__Dialister_invisus,4,-1.0018940361580275,0.1016609480380388,-9.85524978365483,0.0,26.40088066175128,7.860934627679228e-06,88.63674269644231,-1.811349958268506,0.5797488031961031,0.0,True,4,-0.763823980807483,0.4564359689940883,-1.6734526476754858,0.09423822096260959,3.815344929954525,0.28210629622260786,21.37014987958751,-1.4099069235311432,1.2269012808752031,2.6368082044063463,0.12910786572070437,False,320.000004834948,1.0257729211288598
s__Acidovorax_sp_BoFeN1,4,-2.188253227725511,0.1126680572579343,-19.42212620845921,0.0,70.47804408009688,3.3306690738754696e-15,95.74335519783926,-4.242896425798765,2.7024888549659907,0.0,True,4,-0.8365689774097363,0.6108409020014163,-1.369536608744967,0.17083159949634608,12.398287962740152,0.006136189236371714,75.8031108083977,-2.5779877419483506,2.357038817372123,4.935026559320473,0.22166819330417112,False,320.000004834948,0.7674317927947425
s__Phocaeicola_dorei,4,-1.5776580055171043,0.1104949741479833,-14.278097421916977,0.0,26.500787391007982,7.4910719259912995e-06,88.67958164511771,-1.7253607761008225,0.7991899731926069,0.0,True,4,-1.0269321388008754,0.48938105653634956,-2.0984305074436373,0.03586713269667108,6.142067100958936,0.10489925255674015,51.15650886439157,-1.891182892552943,1.5206450464446761,3.411827938997619,0.05443439396897607,False,320.000004834948,1.445303340463332
s__Phocaeicola_vulgatus,4,-2.246017114409701,0.112252891459943,-20.008545750566984,0.0,37.47772359403038,3.645849022682057e-08,91.99524487533748,-2.407897832321236,1.173692335104239,0.0,True,4,-1.3972085296145509,0.5465611187152021,-2.556362832575725,0.010577276374437838,9.180091826667862,0.026989861332036735,67.32058832695878,-2.574031319758656,1.7038141691786253,4.277845488937281,0.01747814417057637,True,320.000004834948,1.975626147785777
s__GGB44854_SGB62331,4,0.9518585918025928,0.1076604583535514,8.841301684567773,0.0,13.90269177719735,0.0030406429690743,78.42144493974553,-1.5662478662990107,1.068208102485753,0.0,True,4,-0.0230089352517214,0.5325725407395993,-0.04320338262233387,0.965539408665476,1.164528542105295,0.7615237890030981,0.0,-0.7421749202299095,0.9056295831238319,1.6478045033537414,0.9711924496998171,False,320.000004834948,0.015229995715062453
